ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Backorders allowed?","Sold individually?","Weight (lbs)","Length (in)","Width (in)","Height (in)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position
,simple,woo-import-0011,AeroWear Deluxe Bathroom Accessories 453Q67,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante.",,,taxable,,1,,0,0,4.66,16,11,1,1,,,133.44,Home and Garden > Bathroom Accessories,,,,,,,,,,,,
,simple,woo-import-0012,TrueForm Compact Lighting 370V14,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante.",,,taxable,,1,,0,0,5.07,16,11,5,1,,,169.58,Home and Garden > Lighting,,,,,,,,,,,,
,simple,woo-import-0013,CoreVibe Active Camping Gear 143B34,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante.",,,taxable,,1,,0,0,1.32,14,12,10,1,,,42.03,Sports and Outdoors > Camping Gear,,,,,,,,,,,,
,simple,woo-import-0014,SilverOak Smart Cycling 671C43,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante.",,,taxable,,1,,0,0,2.62,18,16,5,1,,,173.90,Sports and Outdoors > Cycling,,,,,,,,,,,,
,simple,woo-import-0015,ZenFit Eco Fitness Equipment 254K31,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante.",,,taxable,,1,,0,0,3.51,8,7,7,1,,,234.80,Sports and Outdoors > Fitness Equipment,,,,,,,,,,,,
,simple,woo-import-0016,SilverOak Active Team Sports 584H65,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante.",,,taxable,,1,,0,0,2.99,5,4,3,1,,,140.91,Sports and Outdoors > Team Sports,,,,,,,,,,,,
,simple,woo-import-0017,TrueForm Pro Skincare 503K19,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante.",,,taxable,,1,,0,0,1.11,14,16,6,1,,,85.54,Beauty and Personal Care > Skincare,,,,,,,,,,,,
,simple,woo-import-0018,CoreVibe Compact Makeup 391U29,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante.",,,taxable,,1,,0,0,4.36,6,10,4,1,,,72.37,Beauty and Personal Care > Makeup,,,,,,,,,,,,
,simple,woo-import-0019,TerraCraft Signature Hair Care 463M64,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante.",,,taxable,,1,,0,0,3.04,9,16,5,1,,,70.97,Beauty and Personal Care > Hair Care,,,,,,,,,,,,
,simple,woo-import-0020,TerraCraft Classic Fragrances 586S25,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante.",,,taxable,,1,,0,0,1.71,13,10,3,1,,,65.09,Beauty and Personal Care > Fragrances,,,,,,,,,,,,
,simple,woo-import-0021,NovaTech Modern Action Figures 861R52,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante.",,,taxable,,1,,0,0,1.30,6,6,3,1,,,111.24,Toys and Games > Action Figures,,,,,,,,,,,,
,simple,woo-import-0022,SwiftPack Ultra Board Games 920W22,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante.",,,taxable,,1,,0,0,1.06,7,11,10,1,,,28.21,Toys and Games > Board Games,,,,,,,,,,,,
,simple,woo-import-0023,PeakFlow Classic Educational Toys 479E83,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante.",,,taxable,,1,,0,0,1.04,7,13,7,1,,,239.16,Toys and Games > Educational Toys,,,,,,,,,,,,
,simple,woo-import-0024,BlueLine Compact Puzzles 931U75,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante.",,,taxable,,1,,0,0,1.00,19,9,6,1,,,184.87,Toys and Games > Puzzles,,,,,,,,,,,,
,simple,woo-import-0025,BrightPath Ultra Fiction 193J46,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante.",,,taxable,,1,,0,0,5.13,16,7,8,1,,,149.75,Books and Media > Fiction,,,,,,,,,,,,
,simple,woo-import-0026,ZenFit Eco Non-Fiction 322M91,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante.",,,taxable,,1,,0,0,3.55,17,10,5,1,,,29.86,Books and Media > Non-Fiction,,,,,,,,,,,,
,simple,woo-import-0027,PrimeHome Premium Childrens Books 769L17,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante.",,,taxable,,1,,0,0,3.51,11,13,6,1,,,109.30,Books and Media > Childrens Books,,,,,,,,,,,,
,simple,woo-import-0028,CoastLite Essential Comics and Manga 679R30,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante.",,,taxable,,1,,0,0,3.46,17,4,9,1,,,81.74,Books and Media > Comics and Manga,,,,,,,,,,,,
,simple,woo-import-0029,CoreVibe Heritage Car Care 792M88,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante.",,,taxable,,1,,0,0,4.79,7,15,9,1,,,232.66,Automotive > Car Care,,,,,,,,,,,,
,simple,woo-import-0030,NovaTech Studio Interior Accessories 995G63,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante.",,,taxable,,1,,0,0,0.81,9,4,10,1,,,102.43,Automotive > Interior Accessories,,,,,,,,,,,,
,simple,woo-import-0031,BrightPath Active Exterior Accessories 488C47,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante.",,,taxable,,1,,0,0,2.71,16,6,5,1,,,107.73,Automotive > Exterior Accessories,,,,,,,,,,,,
,simple,woo-import-0032,SilverOak Deluxe Motorcycle Gear 107U18,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante.",,,taxable,,1,,0,0,2.00,14,10,10,1,,,99.60,Automotive > Motorcycle Gear,,,,,,,,,,,,
,simple,woo-import-0033,NovaTech Premium Dog Food 198F13,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante.",,,taxable,,1,,0,0,1.61,14,7,6,1,,,41.07,Pet Supplies > Dog Food,,,,,,,,,,,,
,simple,woo-import-0034,PrimeHome Signature Cat Food 833N35,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante.",,,taxable,,1,,0,0,2.06,9,8,1,1,,,166.77,Pet Supplies > Cat Food,,,,,,,,,,,,
,simple,woo-import-0035,SwiftPack Essential Pet Toys 134M89,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante.",,,taxable,,1,,0,0,2.60,17,8,3,1,,,146.66,Pet Supplies > Pet Toys,,,,,,,,,,,,
,simple,woo-import-0036,SwiftPack Modern Aquarium Supplies 689U20,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante.",,,taxable,,1,,0,0,3.57,5,7,6,1,,,238.38,Pet Supplies > Aquarium Supplies,,,,,,,,,,,,
,simple,woo-import-0037,PrimeHome Smart Pens and Pencils 842S17,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante.",,,taxable,,1,,0,0,3.97,19,15,8,1,,,48.51,Office Supplies > Pens and Pencils,,,,,,,,,,,,
,simple,woo-import-0038,BrightPath Active Notebooks 562Z65,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante.",,,taxable,,1,,0,0,2.00,19,9,8,1,,,76.56,Office Supplies > Notebooks,,,,,,,,,,,,
,simple,woo-import-0039,NorthPeak Ultra Printers and Ink 289W13,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante.",,,taxable,,1,,0,0,4.15,5,14,3,1,,,180.52,Office Supplies > Printers and Ink,,,,,,,,,,,,
,simple,woo-import-0040,BlueLine Smart Desk Organizers 605U48,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante.",,,taxable,,1,,0,0,2.77,8,13,2,1,,,234.07,Office Supplies > Desk Organizers,,,,,,,,,,,,
,simple,woo-import-0041,AeroWear Classic Vitamins and Supplements 325T12,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante.",,,taxable,,1,,0,0,2.78,14,16,10,1,,,180.83,Health and Wellness > Vitamins and Supplements,,,,,,,,,,,,
,simple,woo-import-0042,TrueForm Essential First Aid 872X62,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante.",,,taxable,,1,,0,0,5.31,14,9,2,1,,,121.58,Health and Wellness > First Aid,,,,,,,,,,,,
,simple,woo-import-0043,AeroWear Active Medical Devices 677A59,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante.",,,taxable,,1,,0,0,1.53,17,10,2,1,,,214.13,Health and Wellness > Medical Devices,,,,,,,,,,,,
,simple,woo-import-0044,CoreVibe Modern Massage and Relaxation 236A90,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante.",,,taxable,,1,,0,0,1.10,19,9,2,1,,,226.50,Health and Wellness > Massage and Relaxation,,,,,,,,,,,,
,simple,woo-import-0045,SwiftPack Ultra Necklaces 112R42,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante.",,,taxable,,1,,0,0,4.14,8,4,5,1,,,625.73,Jewelry and Watches > Necklaces,,,,,,,,,,,,
,simple,woo-import-0046,CoreVibe Active Earrings 447Z29,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante.",,,taxable,,1,,0,0,3.23,14,11,5,1,,,206.43,Jewelry and Watches > Earrings,,,,,,,,,,,,
,simple,woo-import-0047,NorthPeak Studio Bracelets 351A35,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante.",,,taxable,,1,,0,0,3.35,15,9,3,1,,,510.89,Jewelry and Watches > Bracelets,,,,,,,,,,,,
,simple,woo-import-0048,UrbanEdge Compact Rings 819B62,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante.",,,taxable,,1,,0,0,4.02,18,7,3,1,,,815.64,Jewelry and Watches > Rings,,,,,,,,,,,,
,simple,woo-import-0049,NovaTech Classic Diapers and Wipes 606Q30,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante.",,,taxable,,1,,0,0,2.99,8,16,5,1,,,38.58,Baby and Kids > Diapers and Wipes,,,,,,,,,,,,
,simple,woo-import-0050,NorthPeak Eco Baby Clothing 208I33,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante.",,,taxable,,1,,0,0,2.97,14,13,5,1,,,95.90,Baby and Kids > Baby Clothing,,,,,,,,,,,,
,simple,woo-import-0051,ZenFit Premium Strollers 378I26,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante.",,,taxable,,1,,0,0,1.53,12,15,3,1,,,40.60,Baby and Kids > Strollers,,,,,,,,,,,,
,simple,woo-import-0052,TrueForm Active Car Seats 191G87,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante.",,,taxable,,1,,0,0,2.99,9,7,1,1,,,26.08,Baby and Kids > Car Seats,,,,,,,,,,,,
,simple,woo-import-0053,BlueLine Smart Snacks 274G12,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante.",,,taxable,,1,,0,0,3.79,6,10,7,1,,,204.28,Food and Beverages > Snacks,,,,,,,,,,,,
,simple,woo-import-0054,UrbanEdge Compact Coffee and Tea 465B80,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante.",,,taxable,,1,,0,0,0.86,8,9,8,1,,,165.49,Food and Beverages > Coffee and Tea,,,,,,,,,,,,
,simple,woo-import-0055,NorthPeak Deluxe Pantry Staples 369V36,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante.",,,taxable,,1,,0,0,1.89,16,15,1,1,,,20.88,Food and Beverages > Pantry Staples,,,,,,,,,,,,
,simple,woo-import-0056,NorthPeak Daily Organic Foods 556E40,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante.",,,taxable,,1,,0,0,3.96,14,5,9,1,,,130.25,Food and Beverages > Organic Foods,,,,,,,,,,,,
,simple,woo-import-0057,PeakFlow Pro Living Room 455R57,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante.",,,taxable,,1,,0,0,1.82,8,4,8,1,,,523.13,Furniture > Living Room,,,,,,,,,,,,
,simple,woo-import-0058,SwiftPack Studio Bedroom 943I51,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante.",,,taxable,,1,,0,0,3.31,6,15,5,1,,,614.88,Furniture > Bedroom,,,,,,,,,,,,
,simple,woo-import-0059,CoreVibe Studio Dining Room 172N79,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante.",,,taxable,,1,,0,0,4.24,18,9,5,1,,,212.51,Furniture > Dining Room,,,,,,,,,,,,
,simple,woo-import-0060,CoreVibe Heritage Office Furniture 716C34,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante.",,,taxable,,1,,0,0,4.18,12,7,4,1,,,278.12,Furniture > Office Furniture,,,,,,,,,,,,
,simple,woo-import-0061,BlueLine Signature Power Tools 505K69,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante.",,,taxable,,1,,0,0,2.87,6,7,9,1,,,128.39,Tools and Hardware > Power Tools,,,,,,,,,,,,
,simple,woo-import-0062,PrimeHome Essential Hand Tools 427N35,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante.",,,taxable,,1,,0,0,3.97,15,13,4,1,,,95.08,Tools and Hardware > Hand Tools,,,,,,,,,,,,
,simple,woo-import-0063,CoreVibe Active Plumbing 879P90,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante.",,,taxable,,1,,0,0,2.47,20,10,6,1,,,248.97,Tools and Hardware > Plumbing,,,,,,,,,,,,
,simple,woo-import-0064,CoastLite Signature Electrical 491G30,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante.",,,taxable,,1,,0,0,4.85,6,16,2,1,,,101.80,Tools and Hardware > Electrical,,,,,,,,,,,,
,simple,woo-import-0065,AeroWear Pro Painting Supplies 647C52,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante.",,,taxable,,1,,0,0,4.19,14,10,1,1,,,57.06,Arts and Crafts > Painting Supplies,,,,,,,,,,,,
,simple,woo-import-0066,BrightPath Daily Sewing and Knitting 656P28,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante.",,,taxable,,1,,0,0,1.05,10,5,6,1,,,110.37,Arts and Crafts > Sewing and Knitting,,,,,,,,,,,,
,simple,woo-import-0067,AeroWear Premium Scrapbooking 638U49,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante.",,,taxable,,1,,0,0,0.72,13,5,2,1,,,181.79,Arts and Crafts > Scrapbooking,,,,,,,,,,,,
,simple,woo-import-0068,BlueLine Modern Beading and Jewelry Making 536Y23,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante.",,,taxable,,1,,0,0,1.90,9,9,9,1,,,16.91,Arts and Crafts > Beading and Jewelry Making,,,,,,,,,,,,
,simple,woo-import-0069,SwiftPack Signature Guitars 380K44,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante.",,,taxable,,1,,0,0,2.75,17,6,6,1,,,94.58,Musical Instruments > Guitars,,,,,,,,,,,,
,simple,woo-import-0070,TrueForm Modern Keyboards and Pianos 438H24,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante.",,,taxable,,1,,0,0,2.88,18,12,10,1,,,97.01,Musical Instruments > Keyboards and Pianos,,,,,,,,,,,,
,simple,woo-import-0071,CoreVibe Heritage Drums and Percussion 725S33,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante.",,,taxable,,1,,0,0,4.91,19,11,6,1,,,39.81,Musical Instruments > Drums and Percussion,,,,,,,,,,,,
,simple,woo-import-0072,UrbanEdge Compact Wind Instruments 379Q41,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante.",,,taxable,,1,,0,0,1.26,7,14,3,1,,,213.27,Musical Instruments > Wind Instruments,,,,,,,,,,,,
,simple,woo-import-0073,TerraCraft Eco Carry-On Bags 229H79,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante.",,,taxable,,1,,0,0,1.19,18,16,2,1,,,207.62,Travel and Luggage > Carry-On Bags,,,,,,,,,,,,
,simple,woo-import-0074,TrueForm Premium Checked Luggage 789V14,1,0,visible,This is a simple product.,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante.",,,taxable,,1,,0,0,0.77,18,8,1,1,,,123.49,Travel and Luggage > Checked Luggage,,,,,,,,,,,,
